#!CONNECT=HK067_GNG/HK067_GNG@prod_ho3orc12_fm.world##, Connected,,,,,,,,,,,,,,,,,,,,,,,,
#!MAX_ERROR=1000,,,,,,,,,,,,,,,,,,,,,,,,,
#!OPF=TDP_LOADER_2.insert_cash_event,,,,,,,,,,,,,,,,,,,,,,,,,
#in_principal,in_book,in_strategy,in_prime_broker,in_pb_account,in_pl_book_ccy_xrate,in_pl_book_ccy_xrate_mdiv,in_cpty,in_event_type,in_narrative,in_pay_rcv,in_amt,in_ccy,in_event_date,in_value_date,in_ident_type,in_ext_ident,in_inst_class,in_price_divisor,in_type,in_sec_event_id,in_behaviour_type,in_realise_difference_ind,in_logon,in_canc_amnd_ind,in_cnev_id
FGO,FGO_SNR_USD,NONE,SCB,FGO_SCB_ACCT_ID,,,SCB,INT,,R,99.86,USD,30-Apr-19,30-Apr-19,,,,,,,,,,,
FGO,FGO_BK,NONE,SCB,FGO_SCB_ACCT_ID,,,SCB,INT,,R,6623.44,USD,30-Apr-19,30-Apr-19,,,,,,,,,,,
FGO,FGO_SNR_SGD,NONE,SCB,FGO_SCB_ACCT_ID,,,SCB,INT,,R,61.8,SGD,30-Apr-19,30-Apr-19,,,,,,,,,,,
FGO,FGO_BK,NONE,SCB,FGO_SCB_ACCT_ID,,,SCB,INT,,R,53.34,SGD,30-Apr-19,30-Apr-19,,,,,,,,,,,
FGOPLUS,FGOPLUS_SNR_USD,NONE,SCB,FGOPLUS_SCB_ACCT_ID,,,SCB,INT,,R,947.71,USD,30-Apr-19,30-Apr-19,,,,,,,,,,,
FGOPLUS,FGOPLUS_BK,NONE,SCB,FGOPLUS_SCB_ACCT_ID,,,SCB,INT,,R,3112.26,USD,30-Apr-19,30-Apr-19,,,,,,,,,,,
FGOPLUS,FGOPLUS_SNR_SGD,NONE,SCB,FGOPLUS_SCB_ACCT_ID,,,SCB,INT,,R,86.01,SGD,30-Apr-19,30-Apr-19,,,,,,,,,,,
FGOPLUS,FGOPLUS_BK,NONE,SCB,FGOPLUS_SCB_ACCT_ID,,,SCB,INT,,R,5.83,SGD,30-Apr-19,30-Apr-19,,,,,,,,,,,
A,A,,,A,,,,List/AV,,P,AD,A,F,F,,,,,,,,,,,
,,,,,,,,Cash transfer identify,,,,,Linedata not take weekend and public holiday(SG),,,,,,,,,,,,
