orderid,userid,itemid,gmv,order_time
1030132,64177,3366770,27,2017-04-24
1030137,10475,6130641,69,2017-02-02
1030147,28286,6770063,87,2017-04-25
1030153,28282,4193426,82,2017-05-11
1030155,64970,8825994,29,2017-03-07
1030160,37113,5660916,44,2017-01-30
1030168,69199,8181828,25,2017-04-24
1030170,28074,4100907,53,2017-01-22
1030174,51228,5068015,31,2017-05-20
1030177,66749,7899619,57,2017-02-25
1030179,48976,5786966,65,2017-05-19
1030183,48622,3487797,47,2017-02-20
1030188,33156,8582728,83,2017-01-08
1030191,56065,6658483,52,2017-03-18
1030194,68685,6505600,84,2017-05-27
1030201,45871,1590652,51,2017-02-18
1030211,40020,1838797,3,2017-03-20
1030218,12671,2027054,64,2017-02-23
1030225,42701,7148298,56,2017-01-25
1030227,43808,2023181,7,2017-03-20
1030233,55625,4222392,45,2017-02-24
1030242,41887,8576081,76,2017-01-30
1030245,20771,3759781,79,2017-05-27
1030255,23355,8366551,81,2017-04-26
1030263,32001,9004966,49,2017-01-11
1030264,36724,5098384,72,2017-01-23
1030268,64340,8818783,5,2017-03-10
1030278,67475,8570909,45,2017-02-08
1030287,44456,4279652,28,2017-05-30
1030289,31024,1622906,33,2017-04-18
1030294,25824,1865691,72,2017-03-08
1030300,31191,2261136,58,2017-04-13
1030301,37678,6008318,83,2017-02-15
1030306,25551,8092933,34,2017-01-04
1030316,32200,9185970,67,2017-02-19
1030323,62589,4620654,32,2017-01-21
1030328,18948,4441460,26,2017-02-07
1030336,52637,5278196,6,2017-01-06
1030337,12467,4578434,53,2017-02-18
1030346,60618,6589609,98,2017-01-13
1030355,45873,5640014,38,2017-02-20
1030356,55078,6420902,55,2017-03-18
1030360,27555,4189611,72,2017-01-15
1030362,48758,6820972,35,2017-02-14
1030363,51463,4622967,64,2017-03-11
1030372,22053,4338858,35,2017-02-04
1030377,59262,3855474,83,2017-05-02
1030382,12206,3788995,52,2017-03-08
1030387,36296,5093649,36,2017-04-09
1030397,12083,6396158,27,2017-02-01
1030407,52654,2468169,41,2017-02-07
1030414,20390,3555543,56,2017-03-04
1030423,13692,1520376,25,2017-04-22
1030429,53598,6199447,12,2017-03-05
1030431,44993,8897647,51,2017-05-08
1030434,65615,3201138,31,2017-05-05
1030438,17153,3435057,61,2017-04-16
1030442,69314,1488337,84,2017-05-03
1030445,19439,7988798,70,2017-03-12
1030447,49903,4429667,90,2017-03-21
1030453,21331,4200120,89,2017-04-05
1030456,11925,7183378,86,2017-03-29
1030466,46094,2003377,80,2017-02-15
1030474,51111,9042601,2,2017-03-08
1030480,22184,7841400,75,2017-04-12
